Module Name,Module Fee
WSQ CLOUD ADMINISTRATION (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1500.0
WSQ CLOUD FUNDAMENTALS (SF),600.0
WSQ CLOUD INFRASTRUCTURE AND ADMINISTRATION (SF),2000.0
WSQ CLOUD SECURITY GOVERNANCE (SF),2000.0
WSQ CLOUD VIRTUAL DESKTOP (SF),2000.0
WSQ CONFIGURE ADVANCED HYBRID CLOUD SYSTEMS (SF),2000.0
WSQ CONFIGURE ADVANCED SERVER (SF),1500.0
WSQ CONFIGURE ADVANCED SERVER (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1500.0
WSQ CONTENT MARKETING (SF),3000.0
WSQ CONTENT MARKETING AND VIDEO (SF),3000.0
WSQ DATA ANALYTICS AND VISUALIZATION (SF),3600.0
WSQ DATA MODELLING AND VISUALIZATION (SF),3000.0
WSQ DATA SCIENCE ESSENTIALS (SF),3600.0
WSQ DATA SCIENCE MODELLING PROJECT (SF),3000.0
WSQ DATA SCIENCE PRINCIPLES (SF),3000.0
WSQ DATABASE DESIGN AND IMPLEMENTATION (SF),1200.0
WSQ DEEP LEARNING (SF),3600.0
WSQ DEEP LEARNING (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3600.0
WSQ DEVELOP ENTERPRISE APPLICATIONS (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1800.0
WSQ DIGITAL TRANSFORMATION (SF),3600.0
WSQ ENTERPRISE APPLICATION DESIGN (SF),1200.0
WSQ FRONT END DEVELOPMENT (SF),1200.0
WSQ FUNDAMENTALS OF NETWORK (SF),900.0
WSQ FUNDAMENTALS OF SERVER (SF),1200.0
WSQ GENERATIVE AI (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3600.0
WSQ INSTALL AND CONFIGURE OPERATING SYSTEMS (SF),1200.0
WSQ INSTALL AND CONFIGURE SERVER (SF),1500.0
WSQ INSTALL AND CONFIGURE SERVER (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1500.0
WSQ IT CUSTOMER SERVICE (SF),800.0
WSQ IT OPERATING SYSTEMS DEPLOYMENT (SF),1100.0
WSQ IT OPERATING SYSTEMS SUPPORT (SF),1100.0
WSQ LINUX FUNDAMENTALS (SF),1100.0
WSQ MACHINE LEARNING ALGORITHMS AND METHODS (SF),3000.0
WSQ MACHINE LEARNING APPLICATIONS (SF),3000.0
WSQ MAINTAIN HYBRID CLOUD SYSTEMS (SF),2000.0
WSQ MARKETING AUTOMATION AND CRM APPS (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),3000.0
WSQ NETWORKING BASICS (SF),1100.0
WSQ OMNI COMMERCE CAMPAIGN (SF),3000.0
WSQ POWER PLATFORM SOLUTIONS (SF),3000.0
WSQ PRINCIPLES OF MACHINE LEARNING (SF),3600.0
WSQ PROGRAMMING FOUNDATIONS (SF),1200.0
WSQ PYTHON FOR DATA SCIENCE (BUNDLED) (SF),1500.0
WSQ PYTHON FOR DATA SCIENCE (SF),1500.0
WSQ ROBOTIC PROCESS AUTOMATION (SF),3000.0
WSQ SECURITY ADMINISTRATION (SF),1200.0
WSQ SECURITY ADMINISTRATION (SF) (SYNCHRONOUS AND ASYNCHRONOUS E LEARNING),1200.0
WSQ SERVER BASICS (SF),1100.0
WSQ SOLUTION SALES (SF),3000.0
WSQ STATISTICS FOR DATA SCIENCE (SF),1500.0
WSQ SUPPORT AND MAINTAIN OPERATING SYSTEMS (SF),1200.0
WSQ UI FRAMEWORKS (SF),1200.0
WSQ WEB DEVELOPMENT FOUNDATIONS (SF),1200.0
